"Name","State","Notes","User","Tags","Created","Runtime","Sweep","balanced","batch_size","epochs","hidden_layer","learning_rate","minority_weight","optimizer","remove_frequency","weight_decay","Epoch","Test Accuracy","Test F1-score","Test Precision","Test Recall","Test loss","Train Accuracy","Train F1-score","Train Precision","Train Recall","Train loss"
"11/08-00:21:35 - Trial_157","finished","-","","","2024-11-08T06:37:45.000Z","26","","true","96","25","448","0.000011905056433366176","1.4272418565152825","Adadelta","5","0.000017005612466693427","25","0.4140127388535032","0.4102140281189568","0.500665229628927","0.5007865496623686","0.8120979881286621","0.4219612282439508","0.41715110894184526","0.5087275419051391","0.510557771833633","0.8094590330446089"
"11/08-00:21:35 - Trial_156","finished","-","","","2024-11-08T06:37:16.000Z","28","","true","96","29","448","0.000010288691032606144","1.3674671207882532","RMSprop","5","0.000017285219593517908","29","0.8059447983014862","0.7378888340913657","0.7517176748485159","0.7278493074277215","0.5837931251525879","0.8488750530635347","0.790387589148837","0.7917289949708815","0.7890795181373084","0.49213976715062113"
"11/08-00:21:35 - Trial_155","finished","-","","","2024-11-08T06:36:42.000Z","33","","false","96","46","448","0.000014535370165980312","1.2763321936111005","RMSprop","5","0.000012958663672369614","39","0.8012738853503185","0.7317365491000929","0.7274279029793735","0.7366399585069662","0.5722410905361176","0.854535163435687","0.8107577301251329","0.8011960233185071","0.8226483845149333","0.47101342476703023"
"11/08-00:21:35 - Trial_154","finished","-","","","2024-11-08T06:36:09.000Z","32","","true","96","46","448","0.000015316540824393726","1.276847281617982","RMSprop","5","0.00001253664506420143","36","0.7983014861995754","0.7333929011070883","0.7284957467086184","0.7391192968896383","0.5691655540466308","0.8717985000707513","0.8320195988180009","0.8220565879417285","0.8441977968490095","0.4299398713015221"
"11/08-00:21:35 - Trial_153","finished","-","","","2024-11-08T06:35:38.000Z","29","","true","96","47","448","0.000015142635071776991","1.2772412631390462","RMSprop","5","0.00001791937682487587","33","0.8059447983014862","0.7384992111738506","0.7346936141655052","0.7427423740544816","0.5790930736064911","0.8477430309891043","0.800066405336322","0.7925711921316785","0.8089550512764092","0.48638948556539174"
"11/08-00:21:35 - Trial_152","finished","-","","","2024-11-08T06:35:06.000Z","31","","true","96","45","448","0.000012392040666511414","1.2025476690385373","RMSprop","3","0.000020847784948025777","35","0.7842887473460722","0.7172051164708151","0.7115022926081314","0.7242715219523036","0.6026307046413422","0.8604782793264468","0.8183606832580507","0.8072946862232486","0.8325271785146535","0.4606473711696831"
"11/08-00:21:35 - Trial_151","finished","-","","","2024-11-08T06:34:40.000Z","24","","false","96","45","448","0.000028000558931121817","1.2477796288851393","RMSprop","3","0.00002060348016740612","21","0.8008492569002124","0.7328705648634077","0.7304185417077405","0.735506126417645","0.5715984725952148","0.8776001132022074","0.839650291840978","0.8296029637132243","0.8518695233219257","0.41839051085549434"
"11/08-00:21:35 - Trial_150","finished","-","","","2024-11-08T06:34:07.000Z","31","","true","64","52","448","0.00001919593931236317","1.0028835807704553","RMSprop","5","0.00008897841271018177","29","0.7902335456475584","0.7181447369186131","0.7161929226484851","0.7202228517432363","0.6323797195344358","0.8754775718126504","0.8417904299664642","0.8251663251040344","0.8663776856593596","0.4262623155976201"
"11/08-00:21:35 - Trial_149","finished","-","","","2024-11-08T06:33:41.000Z","24","","true","96","49","448","0.000023431243205957377","1.1126352916847175","RMSprop","8","0.000014529976082159547","22","0.7830148619957538","0.715380662000922","0.7083708370837083","0.7246126384277637","0.6080639553070069","0.8501485778972689","0.8081669905043858","0.7948938630374778","0.8269003235529235","0.49263515222716975"
"11/08-00:21:35 - Trial_148","finished","-","","","2024-11-08T06:33:13.000Z","27","","true","96","48","448","0.00001567767417900557","1.1624964713201829","RMSprop","7","0.00003138632315120449","25","0.7902335456475584","0.7187927840473998","0.7141534071353739","0.7242195017641397","0.6052690649032593","0.844346964765813","0.7970714298542784","0.7881513122567296","0.808133337053289","0.5177375017791181"
"11/08-00:21:35 - Trial_147","finished","-","","","2024-11-08T06:32:53.000Z","18","","true","96","25","448","0.000010277126131321648","2.3016341912553","RMSprop","10","0.000025214704667415273","11","0.7524416135881105","0.4293675793554641","0.3762208067940552","0.5","0.5298583459854126","0.757322767793972","0.4309525726709075","0.378661383896986","0.5","0.5214164172475403"
"11/08-00:21:35 - Trial_146","finished","-","","","2024-11-08T06:32:27.000Z","24","","true","96","22","448","0.000013328946873328007","1.0590568079813316","RMSprop","5","0.00005002033139539874","22","0.7855626326963907","0.7190274597190593","0.7105493196848","0.7309028983810111","0.6296271228790283","0.842790434413471","0.7987474281873208","0.7864028579683743","0.8159707004591006","0.5235315561294556"
"11/08-00:21:35 - Trial_145","finished","-","","","2024-11-08T06:32:02.000Z","23","","true","96","20","448","0.000011674115673291152","1.0616906088947975","RMSprop","8","0.00011990184568919386","20","0.7791932059447984","0.7148023318856862","0.7104865009794588","0.7199121317623385","0.6638395023345948","0.8335927550587237","0.779715063806038","0.7717470351941982","0.7894361432171513","0.5794985092974998"
