"Name","State","Notes","User","Tags","Created","Runtime","Sweep","balanced","batch_size","epochs","hidden_layer","learning_rate","minority_weight","optimizer","remove_frequency","threshold","weight_decay","Epoch","Test Accuracy","Test F1-score","Test Precision","Test Recall","Test loss","Train Accuracy","Train F1-score","Train Precision","Train Recall","Train loss"
"11/07-22:54:51 - Trial_90","finished","-","","","2024-11-08T04:40:24.000Z","33","","false","192","30","256","0.029439945645749227","","SGD","4","0.478258036528832","0.00006738260253717745","28","0.7957537154989385","0.6732432158783337","0.7180781401936924","0.6549637239062753","0.4201090863117805","0.8359983019668884","0.7542463460860309","0.7954871583290356","0.7317115887878285","0.37236517587223567"
"11/07-22:54:51 - Trial_89","finished","-","","","2024-11-08T04:39:54.000Z","28","","true","128","30","256","0.040345999614892006","","Adagrad","10","0.2143338781503214","0.00011038567651977907","17","0.7515923566878981","0.7028252711604133","0.6924768372984356","0.7338435834564483","0.6312629549126876","0.9653318239705674","0.9549224227969866","0.9375618358304324","0.976917326373002","0.1006817385953452"
"11/07-22:54:51 - Trial_88","finished","-","","","2024-11-08T04:39:28.000Z","25","","false","160","29","256","0.027087838097813535","","Adagrad","3","0.3239575901445126","0.00011641341085356348","12","0.778343949044586","0.7183360308821993","0.7072908102853657","0.7375544898446929","0.533945894241333","0.978774586104429","0.9720570797377412","0.9609200700939148","0.9847721158154245","0.1060495973461204"
"11/07-22:54:51 - Trial_87","finished","-","","","2024-11-08T04:39:01.000Z","25","","false","160","25","320","0.0024150910662334977","","Adagrad","5","0.4453795656912101","0.0002253421677384175","13","0.7898089171974523","0.7058820561120698","0.7138948251935608","0.6994522320592093","0.4422763208548228","0.920333946511957","0.8913077679691117","0.8936058874179479","0.8890768125909243","0.2278199851512909"
"11/07-22:54:51 - Trial_86","finished","-","","","2024-11-08T04:38:31.000Z","28","","false","128","21","320","0.0012401459481427228","","Adagrad","4","0.28254300482235495","0.00032734169943915306","19","0.7473460721868365","0.6977453612657194","0.6876948145625512","0.7348534616431708","0.4248861482268886","0.8892033394651195","0.8648479578268923","0.842049434218489","0.9092623315725152","0.23769306630960532"
"11/07-22:54:51 - Trial_85","finished","-","","","2024-11-08T04:38:01.000Z","28","","false","192","24","320","0.0017188514240082035","","Adagrad","3","0.24703553051859256","0.0002739386585750979","19","0.7549893842887474","0.7068891990761682","0.6960675196473827","0.7432021147668932","0.4475674239488748","0.8979765105419556","0.8757676856719276","0.8517934299202978","0.9232879061667508","0.1933306407284092"
"11/07-22:54:51 - Trial_84","finished","-","","","2024-11-08T04:37:27.000Z","32","","false","160","27","256","0.0004287806023835918","","Adagrad","4","0.38198539793863423","0.0007434760895421437","27","0.7757961783439491","0.7028203672155972","0.7014957264957264","0.7042115657808115","0.4332177023092906","0.8491580585821423","0.7982095036419363","0.7930533883233211","0.8039590217532506","0.36458167632420857"
"11/07-22:54:51 - Trial_83","finished","-","","","2024-11-08T04:36:58.000Z","28","","false","160","23","320","0.001514423839373221","","Adagrad","4","0.30193894620440725","0.0009545773960997064","16","0.7515923566878981","0.6939548034772982","0.6827152505358515","0.729592770114522","0.4230893890062968","0.8828357152964483","0.8568915669203849","0.8359360787028783","0.8953549239693819","0.2592061867316564"
"11/07-22:54:51 - Trial_82","finished","-","","","2024-11-08T04:36:28.000Z","29","","false","160","28","320","0.0010707396086960955","","Adagrad","3","0.3361157488453112","0.0005122066377599032","19","0.7677282377919321","0.7035117078794488","0.6907877616268263","0.7328311178384799","0.4262910008430481","0.899108532616386","0.874409170984842","0.8555629432206662","0.903295132459676","0.25504286521010927"
"11/07-22:54:51 - Trial_81","finished","-","","","2024-11-08T04:36:00.000Z","27","","false","160","27","320","0.001304507490646469","","Adagrad","3","0.337952338050523","0.00026492320504335526","18","0.7830148619957538","0.7141344645649594","0.7055802241246494","0.7262507948060674","0.42527984976768496","0.9090137257676524","0.8851379526988625","0.8664444389523733","0.912393126458714","0.2335455033514235"
