"Name","State","Notes","User","Tags","Created","Runtime","Sweep","balanced","batch_size","epochs","hidden_layer","learning_rate","minority_weight","optimizer","remove_frequency","threshold","weight_decay","Epoch","Test F1-score","Test loss","Train F1-score","Train loss"
"11/07-02:34:17 - Trial_110","crashed","-","","","2024-11-07T08:59:50.000Z","31","","true","128","53","256","0.0000628682111963248","2.4732608614940546","Adagrad","6","0.6020921961228531","0.00007401588662802797","","","","",""
"11/07-02:34:17 - Trial_109","finished","-","","","2024-11-07T08:59:05.000Z","43","","true","96","49","256","0.00017256224281860506","2.561662214703163","RMSprop","3","0.4941059461689798","0.00011694775822105904","49","0.6841022780102277","1.2801932644844056","0.9998584493414788","0.009327428465759431"
"11/07-02:34:17 - Trial_108","finished","-","","","2024-11-07T08:58:12.000Z","51","","true","64","54","256","0.00015058910211687395","2.3451253722507284","Adagrad","4","0.5706202608129055","0.00006286616042459336","54","0.7185169248422261","0.5072349793202168","0.8078467583642239","0.4570247439650802"
"11/07-02:34:17 - Trial_107","finished","-","","","2024-11-07T08:57:29.000Z","40","","false","128","46","256","0.00007859317023269246","2.8954929702766217","Adagrad","3","0.5429624663793902","0.00010792300360085956","46","0.4314340898116852","0.5108418433289779","0.4302644308287649","0.5006912190999303"
"11/07-02:34:17 - Trial_106","finished","-","","","2024-11-07T08:56:36.000Z","51","","true","64","51","256","0.019181671665540103","3.3016208188498144","Adagrad","2","0.4762664997762079","0.00013865215059986254","51","0.6932219993962548","0.9379048879082138","1","0.009773914236575363"
"11/07-02:34:17 - Trial_105","finished","-","","","2024-11-07T08:55:51.000Z","42","","true","96","48","256","0.00011385122297714528","3.13249811236347","Adagrad","2","0.5865078639416874","0.000045176624791927216","48","0.6956527302389559","0.5474793994426728","0.7814574527007638","0.4909159206860774"
"11/07-02:34:17 - Trial_104","finished","-","","","2024-11-07T08:55:07.000Z","41","","true","128","51","256","0.00012315460422311977","3.14643253117649","Adagrad","3","0.5389461146415265","0.0000534757316507312","51","0.7334603674092656","0.5154485796627245","0.8123785044225272","0.493060689419508"
"11/07-02:34:17 - Trial_103","finished","-","","","2024-11-07T08:54:25.000Z","40","","true","128","50","256","0.00021980995910817917","2.790674700636426","Adagrad","4","0.5029381341080457","0.00002443273176581001","50","0.7156688158109186","0.4897533294401671","0.8479553571423201","0.4194883592426777"
"11/07-02:34:17 - Trial_102","finished","-","","","2024-11-07T08:53:41.000Z","42","","true","128","52","256","0.00032104518322675565","2.72420861793679","Adagrad","3","0.5260062944897306","0.0000591366069728888","52","0.7199721206932508","0.4655362822507557","0.881555274811821","0.3411358706653118"
"11/07-02:34:17 - Trial_101","finished","-","","","2024-11-07T08:52:58.000Z","41","","true","128","50","256","0.0002825136940204521","3.0183746423966125","Adagrad","3","0.5295695009471562","0.00005373161499579952","50","0.7237536656891496","0.48607992027935226","0.8716429234563949","0.3611685037612915"
"11/07-02:34:17 - Trial_100","finished","-","","","2024-11-07T08:52:08.000Z","47","","true","96","47","256","0.00008849114065778759","2.6307939254165142","Adagrad","0","0.5782084050331863","0.00003908390405227262","47","0.6972755659640906","0.564097853899002","0.7621739765244216","0.5232553457891619"
"11/07-02:34:17 - Trial_99","finished","-","","","2024-11-07T08:51:15.000Z","51","","true","128","53","256","0.0001861307868807968","2.869873463541542","Adadelta","1","0.6818965561530611","0.000081944321624536","53","0.4322565091610414","0.678539869032408","0.32912473894057337","0.6873954417450088"
"11/07-02:34:17 - Trial_98","finished","-","","","2024-11-07T08:50:19.000Z","53","","true","64","56","256","0.000054621017144144805","2.176580353508588","Adagrad","2","0.6251293182396719","0.00003092261598796338","56","0.5364028944911298","0.5933356478407577","0.491422308088329","0.5794233534787152"
"11/07-02:34:17 - Trial_97","finished","-","","","2024-11-07T08:49:28.000Z","49","","true","96","58","256","0.00013944703467693408","2.4079808076845706","SGD","3","0.6035167170839404","0.000093022062927613","58","0.43416626621816434","0.6644519448280335","0.32912473894057337","0.6796809418781383"
"11/07-02:34:17 - Trial_96","finished","-","","","2024-11-07T08:48:40.000Z","46","","true","96","52","256","0.0002388463123665031","2.9446219940185676","Adagrad","4","0.6546585745808017","0.00006951179020676792","52","0.7117709408577941","0.48916555762290953","0.7815690273007105","0.39684432342245773"
"11/07-02:34:17 - Trial_95","finished","-","","","2024-11-07T08:47:53.000Z","45","","true","96","52","256","0.00021439979302384065","2.948027482846746","Adagrad","3","0.5986328285690826","0.00005724711610584726","52","0.7335041282175814","0.4851082396507263","0.8150306817949259","0.40817670403300105"
"11/07-02:34:17 - Trial_94","finished","-","","","2024-11-07T08:47:06.000Z","45","","true","96","51","256","0.00010650665485815444","2.8267688433718043","Adagrad","3","0.5912470985819847","0.00019350549299936685","51","0.7056550352004898","0.5478372859954834","0.7659523291227053","0.5053250052638956"
"11/07-02:34:17 - Trial_93","finished","-","","","2024-11-07T08:46:19.000Z","45","","true","96","51","256","0.0002209151202454305","2.8680411090744906","Adagrad","3","0.5929368393669163","0.00020051303576409856","51","0.7342737195075455","0.4784349989891053","0.8198794414478475","0.4086999140075735"
"11/07-02:34:17 - Trial_92","finished","-","","","2024-11-07T08:45:35.000Z","42","","true","128","49","256","0.00003765613992016617","1.8868352376220752","Adagrad","2","0.5522510509164704","0.00015697860221863417","49","0.6770102365622513","0.7053554967830056","0.7236064896151885","0.7001176827720234"
"11/07-02:34:17 - Trial_91","finished","-","","","2024-11-07T08:44:49.000Z","44","","true","128","49","256","0.00009995128136198463","2.04899756637735","Adagrad","2","0.5491248188747266","0.00014199203130865716","49","0.730337409929054","0.5653889492938393","0.8040504667606344","0.5268069872898715"
"11/07-02:34:17 - Trial_90","finished","-","","","2024-11-07T08:44:05.000Z","42","","true","224","54","256","0.00298815680277583","2.7504284062731648","Adagrad","5","0.6219259648910217","0.000444266211944887","54","0.6823717107152527","0.7085671153935519","0.9970280983451996","0.06466564000584185"
"11/07-02:34:17 - Trial_89","finished","-","","","2024-11-07T08:43:24.000Z","39","","true","160","43","256","0.0011127980030520134","2.113409839096707","RMSprop","1","0.5317429365831269","0.00026537262545921","43","0.697209345849852","0.8478492697079977","0.9995754451713","0.01165805853282412"
"11/07-02:34:17 - Trial_88","finished","-","","","2024-11-07T08:42:43.000Z","38","","false","192","49","320","0.0001514598671058595","2.3032233229575265","Adagrad","3","0.5782530691509816","0.000015067404727781632","49","0.4912914370955512","0.4470357665648827","0.5269690154917208","0.4147594232816954"
"11/07-02:34:17 - Trial_87","finished","-","","","2024-11-07T08:41:53.000Z","47","","true","128","55","256","0.00008124164800767789","2.674669595134664","Adagrad","1","0.44400330832576346","0.0003524778225755548","55","0.6481298273612315","0.5685001235259207","0.787372220705554","0.5292177902800697"
"11/07-02:34:17 - Trial_86","finished","-","","","2024-11-07T08:41:05.000Z","46","","true","64","47","320","0.0004137603968660398","3.1760523787039463","Adagrad","10","0.5038765260486826","0.00010841945344170772","47","0.7047909578445678","0.4910552880248508","0.8825783390744291","0.3453500413142883"
"11/07-02:34:17 - Trial_85","finished","-","","","2024-11-07T08:39:56.000Z","67","","true","32","45","256","0.0008352327377565995","3.5908203638161353","Adagrad","0","0.6485256245809379","0.000041337753482679395","45","0.7075917895929653","0.5060411929278761","0.9733969693518388","0.13417430382171366"
"11/07-02:34:17 - Trial_84","finished","-","","","2024-11-07T08:39:14.000Z","39","","true","160","46","384","0.00020405850620110056","2.545550410964142","Adagrad","2","0.4699973442658774","0.000219677780799028","46","0.7122842489834256","0.4946193516254425","0.8507028534067353","0.39609982636239793"
"11/07-02:34:17 - Trial_83","finished","-","","","2024-11-07T08:38:30.000Z","42","","true","128","51","256","0.0005432424419458164","1.8885433516593095","Adagrad","3","0.6102732755206748","0.000497804353794064","51","0.7101276972293677","0.5253011992103175","0.9147393336738684","0.29449582073305336"
"11/07-02:34:17 - Trial_82","finished","-","","","2024-11-07T08:37:48.000Z","40","","true","160","50","256","0.0015703616083040653","3.064293042534397","Adagrad","2","0.5699091751472409","0.00017398828539414967","50","0.6813776174525551","0.649937770764033","0.9885360719694044","0.08472375795245171"
"11/07-02:34:17 - Trial_81","finished","-","","","2024-11-07T08:37:08.000Z","38","","true","192","48","256","0.0005097903855751782","1.5441642131787898","Adagrad","2","0.5586959126328345","0.00029369713076575553","48","0.7201619852151824","0.5738233786362869","0.9133218562409364","0.3322783817310591"
"11/07-02:34:17 - Trial_80","finished","-","","","2024-11-07T08:36:31.000Z","35","","true","256","44","320","0.00011810820849097136","2.9629215397235047","Adagrad","2","0.6821951397941053","0.000135187426104792","44","0.5952665754418054","0.545104056596756","0.611220426101263","0.5028555616736412"
"11/07-02:34:17 - Trial_79","finished","-","","","2024-11-07T08:35:35.000Z","54","","true","96","47","320","0.0007419648298483446","2.4632926705794476","Adadelta","1","0.5435865754104886","0.00018634836071965952","47","0.4890914560952084","0.6531806254386902","0.4390669941782436","0.6581568806558042"
"11/07-02:34:17 - Trial_78","finished","-","","","2024-11-07T08:34:50.000Z","43","","true","192","60","448","0.00029630361684399183","3.252173406690746","SGD","4","0.5941954286435709","0.00007816271152420461","60","0.43088448525857903","0.6628424387711745","0.3315993568523598","0.6782045606020335"
"11/07-02:34:17 - Trial_77","finished","-","","","2024-11-07T08:34:03.000Z","45","","false","192","52","320","0.000395457662872692","3.3740118838001427","Adagrad","0","0.5201643677189054","0.00398155051145359","52","0.6712108399132005","0.4308316936859718","0.8098528751948826","0.30815795063972473"
"11/07-02:34:17 - Trial_76","finished","-","","","2024-11-07T08:33:16.000Z","45","","true","64","42","320","0.00026860476048810877","2.790332807861097","Adagrad","4","0.6314153584032521","0.00005419008489280451","42","0.7104433848785372","0.486291836242418","0.8296560995000787","0.37711239666552154"
