number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_hidden_layer1,params_hidden_layer2,params_high_frequency,params_infer_threshold,params_learning_rate,params_low_frequency,params_minority_weight,params_weight_decay,state
0,0.7063477667339755,2024-11-10 22:21:31,2024-11-10 22:23:44,0 days 00:02:13,128,0.17450408455106836,23,1664,128,5,0.26767780576131794,0.0001619311091244073,4,2.036682181129143,2.7559267640273738e-05,COMPLETE
1,0.4309009023219308,2024-11-10 22:23:44,2024-11-10 22:25:11,0 days 00:01:27,192,0.32347593137830066,37,832,320,8,0.48730463028775906,1.2869165107815022e-05,2,1.4211608157857012,0.001026603003516424,COMPLETE
