"Name","State","Notes","User","Tags","Created","Runtime","Sweep","balanced","batch_size","epochs","hidden_layer","learning_rate","minority_weight","optimizer","threshold","trial_number","weight_decay","Epoch","Test F1-score","Test loss","Train F1-score","Train loss"
"11/06-19:48:33 - Trial_87","finished","-","","","2024-11-07T02:46:25.000Z","69","","false","224","54","448","0.01659934488646009","2.064739946656351","SGD","0.3859352348238523","","0.0025955351925021084","54","0.7054529304108778","0.44393548369407654","0.7984425456308567","0.3475828766822815"
"11/06-19:48:33 - Trial_86","finished","-","","","2024-11-07T02:45:17.000Z","62","","false","192","30","512","0.0421305049715266","2.372536287222184","RMSprop","0.34317778067179294","","0.00034305456758418194","30","0.43157132512671975","1.974336550785945","0.43327218304126647","1.8574735763910657"
"11/06-19:48:33 - Trial_85","finished","-","","","2024-11-07T02:43:51.000Z","80","","false","160","45","512","0.05622535082064582","2.511846076593141","Adadelta","0.2688692196889775","","0.0008704167655764765","45","0.7066485951975228","0.5311041335264842","0.91270112784794","0.21704438063833448"
"11/06-19:48:33 - Trial_84","finished","-","","","2024-11-07T02:42:50.000Z","55","","false","224","20","384","0.034944271250967364","3.491863740488551","Adadelta","0.4668384744459552","","0.001479582991925423","20","0.6638928774018474","0.449386710470373","0.7128088572433335","0.40937088429927826"
"11/06-19:48:33 - Trial_83","finished","-","","","2024-11-07T02:41:41.000Z","62","","false","160","26","448","0.0745268521737611","1.9846241159799576","Adadelta","0.3653466448367562","","0.0018441925752339331","26","0.7069771671812617","0.4648582458496094","0.8605295184734437","0.2715988490316603"
"11/06-19:48:33 - Trial_82","finished","-","","","2024-11-07T02:40:27.000Z","67","","false","192","34","512","0.027966591643367174","2.3735017860366714","Adadelta","0.3098703133409428","","0.0011545964166156067","34","0.697975818115751","0.42598262887734634","0.7815324722083512","0.35892501876160904"
"11/06-19:48:33 - Trial_81","finished","-","","","2024-11-07T02:39:11.000Z","69","","false","160","34","448","0.030701620751306856","2.399504750331798","Adadelta","0.3253827685664944","","0.00113126557477737","34","0.7139102060255006","0.4303079962730408","0.8004952737191586","0.34134351942274305"
"11/06-19:48:33 - Trial_80","finished","-","","","2024-11-07T02:37:52.000Z","72","","false","224","58","512","0.01554621940416034","2.8580018026065854","SGD","0.4368357441413805","","0.00026631766802751863","58","0.6867064560553588","0.4339995790611614","0.7988882683958335","0.33527202997356653"
"11/06-19:48:33 - Trial_79","finished","-","","","2024-11-07T02:36:35.000Z","71","","false","192","49","448","0.0008862843878337958","1.2543600670233437","Adagrad","0.4051626135468527","","0.00041602771523607617","49","0.7056664855633622","0.7101215124130249","0.9602511061670376","0.15032507157003558"
"11/06-19:48:33 - Trial_78","finished","-","","","2024-11-07T02:35:19.000Z","70","","false","256","42","512","0.051332835770183154","2.226579177844603","Adadelta","0.4578540947232057","","0.0004801915864717074","42","0.685964061744178","0.4377889513969421","0.8264652842168125","0.2903550368334566"
